rank,title,score,scored_by,members,year,genres,url
57,Chi. Chikyuu no Undou ni Tsuite,8.71,110096,276143,2024,Drama,https://myanimelist.net/anime/52215/Chi_Chikyuu_no_Undou_ni_Tsuite
58,Code Geass: Hangyaku no Lelouch,8.71,1508064,2445193,2006,Award Winning|Drama|Sci-Fi,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
62,Mob Psycho 100 III,8.71,434491,842382,2022,Action|Comedy|Supernatural,https://myanimelist.net/anime/50172/Mob_Psycho_100_III
61,Jujutsu Kaisen 2nd Season,8.71,786899,1341724,2023,Action|Supernatural,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season
65,Boku no Kokoro no Yabai Yatsu 2nd Season,8.7,170131,298729,2024,Comedy|Romance,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season
64,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.7,226792,400544,2023,Action|Adventure|Supernatural,https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan
66,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.7,69484,200954,2017,Drama,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
63,Kimetsu no Yaiba: Yuukaku-hen,8.7,1098180,1710544,2022,Action|Supernatural,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
70,Kingdom 6th Season,8.69,14782,35084,2025,Action,https://myanimelist.net/anime/61517/Kingdom_6th_Season
69,Violet Evergarden,8.69,1078842,1973556,2018,Drama,https://myanimelist.net/anime/33352/Violet_Evergarden
72,Mushishi Zoku Shou,8.68,127540,324603,2014,Adventure|Mystery|Slice of Life|Supernatural,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
77,Uma Musume: Cinderella Gray Part 2,8.67,26771,55528,2025,Drama|Sports,https://myanimelist.net/anime/61930/Uma_Musume__Cinderella_Gray_Part_2
74,Bleach: Sennen Kessen-hen - Soukoku-tan,8.67,148763,282517,2024,Action|Adventure|Supernatural,https://myanimelist.net/anime/56784/Bleach__Sennen_Kessen-hen_-_Soukoku-tan
75,Hajime no Ippo: New Challenger,8.67,187210,322461,2009,Sports,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
81,Mushishi,8.65,296180,898608,2005,Adventure|Mystery|Slice of Life|Supernatural,https://myanimelist.net/anime/457/Mushishi
86,Tengen Toppa Gurren Lagann,8.64,968161,1749408,2007,Adventure|Award Winning|Sci-Fi,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
83,Shigatsu wa Kimi no Uso,8.64,1455109,2396328,2014,Drama|Romance,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
85,Shingeki no Kyojin Season 3,8.64,1787622,2630389,2018,Action|Drama|Suspense,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
89,Made in Abyss,8.63,828919,1534735,2017,Adventure|Drama|Fantasy|Mystery|Sci-Fi,https://myanimelist.net/anime/34599/Made_in_Abyss
91,Natsume Yuujinchou Shi,8.63,116970,264580,2012,Slice of Life|Supernatural,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
92,Ping Pong the Animation,8.63,202263,435189,2014,Award Winning|Drama|Sports,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
92,Odd Taxi,8.63,247458,502685,2021,Award Winning|Drama|Mystery|Suspense,https://myanimelist.net/anime/46102/Odd_Taxi
93,Ikoku Nikki,8.62,9092,65880,2026,Drama,https://myanimelist.net/anime/58788/Ikoku_Nikki
96,Death Note,8.62,2973615,4249694,2006,Supernatural|Suspense,https://myanimelist.net/anime/1535/Death_Note
98,Haikyuu!! Second Season,8.62,1019669,1553208,2015,Sports,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
99,Bungou Stray Dogs 5th Season,8.61,117845,252511,2023,Action|Mystery,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season
107,Natsume Yuujinchou Roku,8.61,75877,204489,2017,Slice of Life|Supernatural,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
103,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.61,949470,1483083,2020,Comedy|Romance,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
106,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.61,692914,1100673,2021,Adventure|Drama|Fantasy|Ecchi,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
101,Hajime no Ippo: Rising,8.61,161899,295200,2013,Sports,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
109,Made in Abyss: Retsujitsu no Ougonkyou,8.6,255997,531066,2022,Adventure|Drama|Fantasy|Mystery|Sci-Fi,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
110,Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,8.59,53137,360731,2026,Action|Supernatural,https://myanimelist.net/anime/57658/Jujutsu_Kaisen__Shimetsu_Kaiyuu_-_Zenpen
111,Dungeon Meshi,8.59,288498,562022,2024,Adventure|Comedy|Fantasy|Gourmet,https://myanimelist.net/anime/52701/Dungeon_Meshi
117,Natsume Yuujinchou Shichi,8.58,17661,56934,2024,Slice of Life|Supernatural,https://myanimelist.net/anime/55823/Natsume_Yuujinchou_Shichi
115,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,770941,1149792,2018,Action|Adventure,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
122,Uma Musume: Cinderella Gray,8.57,44619,90776,2025,Drama|Sports,https://myanimelist.net/anime/59636/Uma_Musume__Cinderella_Gray
119,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.57,473606,742263,2025,Action|Adventure|Fantasy,https://myanimelist.net/anime/58567/Ore_dake_Level_Up_na_Ken_Season_2__Arise_from_the_Shadow
120,Shingeki no Kyojin,8.57,3034485,4310027,2013,Action|Award Winning|Drama|Suspense,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
118,Nana,8.57,298267,770168,2006,Drama|Romance,https://myanimelist.net/anime/877/Nana
123,Kaoru Hana wa Rin to Saku,8.56,195302,413527,2025,Drama|Romance,https://myanimelist.net/anime/59845/Kaoru_Hana_wa_Rin_to_Saku
125,Natsume Yuujinchou Go,8.56,83132,204451,2016,Slice of Life|Supernatural,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
126,Natsume Yuujinchou San,8.56,126336,270860,2011,Slice of Life|Supernatural,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
129,Haikyuu!! To the Top Part 2,8.56,547478,916970,2020,Sports,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
133,Steins;Gate 0,8.55,469203,946230,2018,Drama|Sci-Fi|Suspense,https://myanimelist.net/anime/30484/Steins_Gate_0
133,Yojouhan Shinwa Taikei,8.55,155778,490533,2010,Award Winning|Comedy|Mystery|Romance|Suspense,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
143,[Oshi no Ko],8.54,605072,1023553,2023,Award Winning|Drama,https://myanimelist.net/anime/52034/Oshi_no_Ko
142,Shouwa Genroku Rakugo Shinjuu,8.54,99178,312445,2016,Drama,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
141,Shingeki no Kyojin Season 2,8.54,2042064,2984718,2017,Action|Drama|Suspense,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
139,Fate/Zero 2nd Season,8.54,752066,1187312,2012,Action|Fantasy,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
145,[Oshi no Ko] 3rd Season,8.53,20179,207532,2026,Drama,https://myanimelist.net/anime/60058/Oshi_no_Ko_3rd_Season
146,Chiikawa,8.53,5285,17834,2022,Slice of Life,https://myanimelist.net/anime/50250/Chiikawa
144,Zoku Natsume Yuujinchou,8.53,133683,265303,2009,Slice of Life|Supernatural,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
147,Fruits Basket 2nd Season,8.53,299331,577762,2020,Drama|Romance|Supernatural,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
149,Dr. Stone: Science Future Part 2,8.52,100274,205057,2025,Adventure|Comedy,https://myanimelist.net/anime/61322/Dr_Stone__Science_Future_Part_2
154,[Oshi no Ko] 2nd Season,8.52,244513,498433,2024,Drama,https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season
148,Bakuman. 3rd Season,8.52,202795,346660,2012,Comedy|Drama|Romance,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
153,Samurai Champloo,8.52,681447,1339233,2004,Action|Adventure|Comedy,https://myanimelist.net/anime/205/Samurai_Champloo
151,Jujutsu Kaisen,8.52,1959719,2974255,2020,Action|Award Winning|Supernatural,https://myanimelist.net/anime/40748/Jujutsu_Kaisen
156,Fate/strange Fake,8.51,16142,131328,2026,Action|Fantasy,https://myanimelist.net/anime/55830/Fate_strange_Fake
157,Gintama. Porori-hen,8.51,111819,220496,2017,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/35843/Gintama_Porori-hen
159,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.51,108868,240616,2004,Mystery|Sci-Fi,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
166,Grand Blue Season 2,8.5,80529,187338,2025,Comedy,https://myanimelist.net/anime/59986/Grand_Blue_Season_2
165,Yuru Camp△ Season 2,8.5,112164,251514,2021,Slice of Life,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
164,Sora yori mo Tooi Basho,8.5,234646,549608,2018,Adventure|Comedy|Drama,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
160,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,863109,1249378,2016,Action|Adventure,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
167,Mob Psycho 100,8.49,1405801,2292823,2016,Action|Comedy|Supernatural,https://myanimelist.net/anime/32182/Mob_Psycho_100
169,Uchuu Kyoudai,8.48,55751,209332,2012,Comedy,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
172,One Punch Man,8.48,2403052,3487674,2015,Action|Comedy,https://myanimelist.net/anime/30276/One_Punch_Man
173,Ousama Ranking,8.48,393967,746148,2021,Adventure|Fantasy,https://myanimelist.net/anime/40834/Ousama_Ranking
175,Yakusoku no Neverland,8.47,1386541,2134677,2019,Mystery|Suspense,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
176,Ansatsu Kyoushitsu 2nd Season,8.47,965180,1554416,2016,Action|Comedy,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
177,Aria the Origination,8.47,34615,140581,2008,Sci-Fi|Slice of Life,https://myanimelist.net/anime/3297/Aria_the_Origination
174,Nichijou,8.47,398379,974561,2011,Comedy,https://myanimelist.net/anime/10165/Nichijou
181,Rainbow: Nisha Rokubou no Shichinin,8.46,166292,422358,2010,Drama|Suspense,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
182,Summertime Render,8.46,284987,664432,2022,Mystery|Supernatural|Suspense,https://myanimelist.net/anime/47194/Summertime_Render
191,Owarimonogatari,8.45,250125,507542,2015,Comedy|Mystery|Supernatural,https://myanimelist.net/anime/31181/Owarimonogatari
187,Banana Fish,8.45,410438,953422,2018,Action|Adventure|Drama|Suspense,https://myanimelist.net/anime/36649/Banana_Fish
190,Grand Blue,8.45,477072,893151,2018,Comedy,https://myanimelist.net/anime/37105/Grand_Blue
188,Chihayafuru 3,8.45,70334,155979,2019,Drama|Romance|Sports,https://myanimelist.net/anime/37379/Chihayafuru_3
192,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,8.44,871286,1230715,2015,Action|Adventure,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_-_Egypt-hen
199,Dandadan,8.43,565634,929140,2024,Action|Comedy|Supernatural,https://myanimelist.net/anime/57334/Dandadan
195,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.43,213984,477624,2024,Drama|Fantasy|Suspense,https://myanimelist.net/anime/54857/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_3rd_Season
197,Zoku Owarimonogatari,8.43,120448,250293,2019,Comedy|Mystery|Supernatural,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
198,Chainsaw Man,8.43,1109294,1914689,2022,Action|Fantasy,https://myanimelist.net/anime/44511/Chainsaw_Man
196,Spy x Family,8.43,1143450,1857147,2022,Action|Award Winning|Comedy,https://myanimelist.net/anime/50265/Spy_x_Family
202,Haikyuu!!,8.43,1335073,2151557,2014,Sports,https://myanimelist.net/anime/20583/Haikyuu
201,Golden Kamuy 3rd Season,8.43,97177,196930,2020,Action|Adventure,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
205,Dandadan 2nd Season,8.42,265643,514059,2025,Action|Comedy|Supernatural,https://myanimelist.net/anime/60543/Dandadan_2nd_Season
211,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.42,622922,1049609,2021,Drama|Fantasy|Suspense,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
207,Kono Oto Tomare! Part 2,8.42,106592,200918,2019,Drama,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2
208,Koukaku Kidoutai: Stand Alone Complex,8.42,171707,421639,2002,Award Winning|Mystery|Sci-Fi,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
204,Bungou Stray Dogs 4th Season,8.42,145729,353513,2023,Action|Mystery,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season
221,Medalist 2nd Season,8.41,3260,30183,2026,Drama|Sports,https://myanimelist.net/anime/61335/Medalist_2nd_Season
217,Saiki Kusuo no Ψ-nan,8.41,690845,1236595,2016,Comedy,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
218,Saiki Kusuo no Ψ-nan 2,8.41,426492,713297,2018,Comedy,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
222,Mononoke,8.41,105037,363990,2007,Horror|Mystery|Supernatural|Suspense,https://myanimelist.net/anime/2246/Mononoke
220,Kimetsu no Yaiba,8.41,2335191,3401891,2019,Action|Award Winning|Supernatural,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
223,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.4,1200332,1916534,2019,Comedy|Romance,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
233,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.39,318219,553575,2024,Adventure|Drama|Fantasy|Ecchi,https://myanimelist.net/anime/55888/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu_Part_2
230,Houseki no Kuni,8.39,217734,512925,2017,Action|Drama|Fantasy|Mystery,https://myanimelist.net/anime/35557/Houseki_no_Kuni
232,Major S5,8.39,43689,75578,2009,Sports,https://myanimelist.net/anime/5028/Major_S5
236,Kaze ga Tsuyoku Fuiteiru,8.38,150214,332354,2018,Drama|Sports,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru
240,Vivy: Fluorite Eye's Song,8.38,270022,601549,2021,Action|Sci-Fi|Suspense,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
237,Mahou Shoujo Madoka★Magica,8.38,810022,1395914,2011,Award Winning|Drama|Suspense,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica
248,Medalist,8.37,35119,84301,2025,Drama|Sports,https://myanimelist.net/anime/55318/Medalist
245,3-gatsu no Lion,8.37,299024,728617,2016,Drama,https://myanimelist.net/anime/31646/3-gatsu_no_Lion
247,Haikyuu!! To the Top,8.37,641353,1040931,2020,Sports,https://myanimelist.net/anime/38883/Haikyuu_To_the_Top
246,Chihayafuru 2,8.37,137695,251584,2013,Drama|Romance|Sports,https://myanimelist.net/anime/14397/Chihayafuru_2
255,Girls Band Cry,8.36,52547,132153,2024,Drama,https://myanimelist.net/anime/55102/Girls_Band_Cry
252,Cross Game,8.36,53504,132185,2009,Drama|Romance|Sports,https://myanimelist.net/anime/5941/Cross_Game
260,Karakai Jouzu no Takagi-san 3,8.36,95305,209904,2022,Comedy|Romance,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
251,Barakamon,8.36,360121,708861,2014,Slice of Life,https://myanimelist.net/anime/22789/Barakamon
266,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.35,451525,811310,2020,Comedy|Romance,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan
263,Non Non Biyori Nonstop,8.35,53501,138045,2021,Slice of Life,https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop
270,Fumetsu no Anata e,8.35,419386,984793,2021,Adventure|Drama|Supernatural,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e
268,Baccano!,8.35,397525,953751,2007,Action|Mystery|Supernatural,https://myanimelist.net/anime/2251/Baccano
281,Yofukashi no Uta Season 2,8.34,82923,227258,2025,Romance|Supernatural,https://myanimelist.net/anime/58390/Yofukashi_no_Uta_Season_2
275,Hibike! Euphonium 2,8.34,135196,255093,2016,Drama,https://myanimelist.net/anime/31988/Hibike_Euphonium_2
273,86,8.34,498341,951252,2021,Drama|Sci-Fi,https://myanimelist.net/anime/41457/86
276,IDOLiSH7 Third Beat! Part 2,8.34,6026,17860,2022,Drama,https://myanimelist.net/anime/46654/IDOLiSH7_Third_Beat_Part_2
278,Kono Subarashii Sekai ni Shukufuku wo! 3,8.34,231422,537126,2024,Adventure|Comedy|Fantasy,https://myanimelist.net/anime/49458/Kono_Subarashii_Sekai_ni_Shukufuku_wo_3
277,Kimetsu no Yaiba: Mugen Ressha-hen,8.34,580413,956856,2021,Action|Supernatural,https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen
280,Tensei shitara Slime Datta Ken 2nd Season,8.34,637375,1096075,2021,Action|Comedy|Fantasy,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season
284,Golden Kamuy: Saishuushou,8.33,3502,49142,2026,Action|Adventure,https://myanimelist.net/anime/55772/Golden_Kamuy__Saishuushou
289,Psycho-Pass,8.33,826619,1737774,2012,Action|Mystery|Sci-Fi|Suspense,https://myanimelist.net/anime/13601/Psycho-Pass
286,Mushoku Tensei: Isekai Ittara Honki Dasu,8.33,956700,1546726,2021,Adventure|Drama|Fantasy|Ecchi,https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu
282,Bakuman. 2nd Season,8.33,221301,370538,2011,Comedy|Drama|Romance,https://myanimelist.net/anime/10030/Bakuman_2nd_Season
298,Fate/stay night: Unlimited Blade Works 2nd Season,8.32,600858,914083,2015,Action|Fantasy,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season
292,One Outs,8.32,122434,255209,2008,Sports|Suspense,https://myanimelist.net/anime/5040/One_Outs
293,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.32,744262,1261110,2020,Drama|Fantasy|Suspense,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season
295,Bakemonogatari,8.32,767708,1481010,2009,Mystery|Romance|Supernatural,https://myanimelist.net/anime/5081/Bakemonogatari
290,Kiseijuu: Sei no Kakuritsu,8.32,1243074,2023104,2014,Action|Horror|Sci-Fi|Suspense,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
294,Usagi Drop,8.32,254355,522647,2011,Slice of Life,https://myanimelist.net/anime/10162/Usagi_Drop
300,Dr. Stone: New World Part 2,8.31,223293,414927,2023,Adventure|Comedy,https://myanimelist.net/anime/55644/Dr_Stone__New_World_Part_2
303,Major S6,8.31,38881,67060,2010,Sports,https://myanimelist.net/anime/7655/Major_S6
309,Uma Musume: Pretty Derby Season 2,8.31,55146,104372,2021,Sports,https://myanimelist.net/anime/42941/Uma_Musume__Pretty_Derby_Season_2
305,NHK ni Youkoso!,8.31,368292,824751,2006,Comedy|Drama|Romance,https://myanimelist.net/anime/1210/NHK_ni_Youkoso
315,Ookami to Koushinryou II,8.3,288641,518750,2009,Adventure|Drama|Romance|Supernatural,https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II
314,Natsume Yuujinchou,8.3,198794,584224,2008,Slice of Life|Supernatural,https://myanimelist.net/anime/4081/Natsume_Yuujinchou
312,Diamond no Ace: Second Season,8.3,82284,149523,2015,Sports,https://myanimelist.net/anime/30230/Diamond_no_Ace__Second_Season
313,Initial D Final Stage,8.3,84509,164938,2014,Action|Drama,https://myanimelist.net/anime/22507/Initial_D_Final_Stage
311,Boku dake ga Inai Machi,8.3,1466938,2272001,2016,Mystery|Suspense,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi
318,Kingdom 2nd Season,8.29,73538,148405,2013,Action,https://myanimelist.net/anime/17389/Kingdom_2nd_Season
317,Kemono no Souja Erin,8.29,22786,93815,2009,Drama|Fantasy,https://myanimelist.net/anime/5420/Kemono_no_Souja_Erin
319,Kuroko no Basket 3rd Season,8.29,509058,824933,2015,Sports,https://myanimelist.net/anime/24415/Kuroko_no_Basket_3rd_Season
316,Katanagatari,8.29,222981,590611,2010,Action|Adventure|Romance,https://myanimelist.net/anime/6594/Katanagatari
323,Sakamichi no Apollon,8.29,181772,413587,2012,Drama|Romance,https://myanimelist.net/anime/12531/Sakamichi_no_Apollon
332,Given,8.29,343808,630788,2019,Boys Love|Drama,https://myanimelist.net/anime/39533/Given
